AGAR,166,MANOHAR UNTWAL,Bharatiya Janata Party,VIPIN WANKHEDE,Indian National Congress,2490,MANOHAR OONTWAL,Bharatiya Janata Party,28859

ALIRAJPUR,191,MUKESH RAWAT (PATEL),Indian National Congress,CHOUHAN NAGAR SINGH,Bharatiya Janata Party,21962,CHOUHAN NAGARSINGH,Bharatiya Janata Party,17369

ALOTE,223,MANOJ CHAWLA,Indian National Congress,JITENDRA THAWARCHAND GEHLOT,Bharatiya Janata Party,5448,JITENDRA THAVARCHAND GEHLOT,Bharatiya Janata Party,7973

AMLA,130,DR. YOGESH PANDAGRE,Bharatiya Janata Party,MANOJ MALVE,Indian National Congress,19197,CHAITRAM MANEKAR,Bharatiya Janata Party,39602

ASHOK NAGAR,32,"JAJPAL SINGH ""JAJJI""",Indian National Congress,ER. LADDURAM KORI,Bharatiya Janata Party,9730,GOPILAL JATAV,Bharatiya Janata Party,3348

ATER,9,ARVIND SINGH BHADORIA,Bharatiya Janata Party,HEMANT SATYADEV KATARE,Indian National Congress,4978,SATYADEV KATARE,Indian National Congress,11426

BADNAGAR,218,MURLI MORWAL,Indian National Congress,SANJAY SHARMA,Bharatiya Janata Party,5381,MUKESH PANDYA,Bharatiya Janata Party,13135

BADNAWAR,202,RAJVARDHAN SINGH - PREMSINGH DATTIGAW,Indian National Congress,BHANWARSINGH SHEKHAWAT,Bharatiya Janata Party,41506,BHANVARSINGH SHEKHAWAT,Bharatiya Janata Party,9812

BAGLI,174,KANNOJE PAHADSINGH,Bharatiya Janata Party,KAMAL WASKALE,Indian National Congress,11843,CHAMPALAL DEVDA,Bharatiya Janata Party,25332

BAHORIBAND,94,PRANAY PRABHAT PANDEY (GUDDU BHAIYA),Bharatiya Janata Party,KUNWAR SAURABH SINGH,Indian National Congress,16435,PRABHAT PANDEY (BADE BABBU),Bharatiya Janata Party,20918

BAIHAR,108,SANJAY UIKEY,Indian National Congress,ANUPAMA NETAM,Bharatiya Janata Party,16480,SANJAY UIEKE,Indian National Congress,32352

BAMORI,28,MAHENDRA SINGH SISODIYA (SANJU BHAIYA),Indian National Congress,"BRIJMOHAN SINGH ""AZAD""",Bharatiya Janata Party,27920,MAHENDRA SINGH SISODIA (SANJU BHAIYA),Indian National Congress,18561

BANDA,42,TARBAR SINGH (BANTU BHAIYA),Indian National Congress,HARVANSH SINGH RATHORE (SUKKU BHAIYA),Bharatiya Janata Party,24164,HARVANSH (SUKKU BHAIYA),Bharatiya Janata Party,17880

BANDHAVGARH,89,SHIVNARAYAN SINGH (LALLU BHAIYA),Bharatiya Janata Party,DHYAN SINGH,Indian National Congress,3903,GYAN SINGH,Bharatiya Janata Party,18645

BARGHAT,114,"""ARJUN SINGH""",Indian National Congress,NARESH WARKADE,Bharatiya Janata Party,7527,KAMAL MARSKOLE,Bharatiya Janata Party,269

BASODA,145,"LEENA SANJAY JAIN ""TAPPU""",Bharatiya Janata Party,NISHANK KUMAR JAIN,Indian National Congress,10226,NISHANK,Indian National Congress,16159

BHAINSDEHI,133,DHARMU SINGH SIRSAM,Indian National Congress,MAHENDRA SINGH CHOUHAN,Bharatiya Janata Party,30880,MAHENDRA  KESHARSINGH CHOUHAN,Bharatiya Janata Party,13276

BHANDER,21,RAKSHA SANTRAM SARONIYA,Indian National Congress,RAJNI PRAJAPATI,Bharatiya Janata Party,39896,GHANSHYAM PIRONIYA,Bharatiya Janata Party,7651

BHIKANGAON,181,JHUMA DR. DHYANSINGH SOLANKI,Indian National Congress,DHOOL SINGH DAWAR,Bharatiya Janata Party,27257,JHUMA SOLANKI,Indian National Congress,2399

BIJAWAR,52,RAJESH KUMAR (BABLU BHAIYA),Samajwadi Party,GUDDAN BHAIYA PUSHPENDRA NATH PATHAK,Bharatiya Janata Party,36714,GUDDAN PATHAK (PUSHPENDRA  NATH),Bharatiya Janata Party,10379

