Aizawl South-iii,20,F. LALNUNMAWIA,Mizo National Front,K.S THANGA,Indian National Congress,2088,K. S. THANGA,Indian National Congress,667

Champhai South,24,T.J LALNUNTLUANGA,Mizo National Front,LAL THANHAWLA,Indian National Congress,1049,JH.ROTHUAMA,Indian National Congress,1650

Hachhek,1,LALRINDIKA RALTE,Indian National Congress,LALRINENGA SAILO,Mizo National Front,366,LALRINMAWIA RALTE,Indian National Congress,2333

Hrangturzo,28,LALCHAMLIANA,Mizo National Front,VANLALAWMPUII CHAWNGTHU,Indian National Congress,757,LAL THANHAWLA,Indian National Congress,1628

Lawngtlai East,38,H. BIAKZAUA,Mizo National Front,H. ZOTHANGLIANA,Indian National Congress,944,H.ZOTHANGLIANA,Indian National Congress,273

Lawngtlai West,37,C. NGUNLIANCHUNGA,Indian National Congress,C. RAMHLUNA,Mizo National Front,795,C.NGUNLIANCHUNGA,Indian National Congress,1535

Lengteng,21,L.THANGMAWIA,Mizo National Front,H.ROHLUNA,Indian National Congress,1772,H .ROHLUNA,Indian National Congress,167

Lunglei South,33,K PACHHUNGA,Mizo National Front,R LALNUNTHARA,Indian National Congress,2441,S. LALDINGLIANA,Indian National Congress,450

Palak,40,K.T. ROKHAW,Indian National Congress,M. CHAKHU,Mizo National Front,844,HIPHEI,Indian National Congress,1823

Serlui,6,LALRINSANGA RALTE,Mizo National Front,LALHMACHHUANA,Indian National Congress,927,K. LALRINTHANGA,Indian National Congress,1406

Thorang,34,ZODINTLUANGA RALTE,Indian National Congress,R.ROHMINGLIANA,Mizo National Front,1240,ZODINTLUANGA,Indian National Congress,2504

