Alwar Rural,65,TIKA RAM JULLY,Indian National Congress,MASTER RAMKISHAN,Bharatiya Janata Party,26477,JAIRAM JATAV,Bharatiya Janata Party,26799

Alwar Urban,66,SANJAY SHARMA,Bharatiya Janata Party,SHWETA SAINI,Indian National Congress,22008,BANWARI LAL SINGHAL,Bharatiya Janata Party,62229

Anupgarh,6,SANTOSH,Bharatiya Janata Party,KULDEEP INDORA,Indian National Congress,21124,SHIMLA BAWRI,Bharatiya Janata Party,11146

Asind,177,JABBAR SINGH SANKHALA,Bharatiya Janata Party,MANISH MEWARA,Indian National Congress,154,RAM LAL GURJAR,Bharatiya Janata Party,27309

Aspur,159,GOPICHAND MEENA,Bharatiya Janata Party,UMESH,Bhartiya Tribal Party,5330,GOPI CHAND MEENA,Bharatiya Janata Party,10504

Bagru,56,GANGA DEVI,Indian National Congress,KAILASH CHAND VERMA,Bharatiya Janata Party,5343,KAILASH VERMA,Bharatiya Janata Party,46356

Bali,120,PUSHPENDRA SINGH,Bharatiya Janata Party,UMMED SINGH,Nationalist Congress Party,28187,PUSHAPENDRA SINGH,Bharatiya Janata Party,19588

Banswara,164,ARJUN SINGH BAMNIYA,Indian National Congress,HAKRU MAIDA,Bharatiya Janata Party,18366,DHAN SINGH RAWAT,Bharatiya Janata Party,30061

Baran-atru,195,PANA CHAND MEGHWAL,Indian National Congress,BABOO LAL VERMA,Bharatiya Janata Party,12248,RAMPAL,Bharatiya Janata Party,20600

Bari sadri,171,LALIT KUMAR OSTWAL,Bharatiya Janata Party,PRAKASH CHOUDHARY,Indian National Congress,8810,GAUTAM KUMAR,Bharatiya Janata Party,17261

Baseri,77,KHILADI LAL BAIRWA,Indian National Congress,CHHITRIYA LAL JATAV,Bharatiya Janata Party,17556,RANI SILAUTIA,Bharatiya Janata Party,5748

Bayana,76,AMAR SINGH,Indian National Congress,DR. RITU BANAWAT,Bharatiya Janata Party,6695,BACHCHU SINGH,Bharatiya Janata Party,5811

Baytu,136,HARISH CHOUDHARY,Indian National Congress,UMMEDA RAM,Rashtriya Loktantrik Party,13803,KAILASH CHOUDHARY,Bharatiya Janata Party,13974

Beawar,103,SHANKAR SINGH RAWAT,Bharatiya Janata Party,PARASMAL JAIN,Indian National Congress,4502,SHANKAR SINGH,Bharatiya Janata Party,42909

Begun,168,BIDHURI RAJENDRA SINGH,Indian National Congress,DR. SURESH DHAKER,Bharatiya Janata Party,1661,SURESH DHAKER,Bharatiya Janata Party,21298

Bharatpur,73,DR. SUBHASH GARG,Rashtriya Lok Dal,VIJAY BANSAL(PAPPU BANDA),Bharatiya Janata Party,15710,VIJAY BANSAL (PAPPU BANDA),Bharatiya Janata Party,22694

Bhim,173,SUDARSHAN SINGH RAWAT,Indian National Congress,HARI SINGH CHOUHAN (RAWAT),Bharatiya Janata Party,3714,HARI SINGH RAWAT (PANNA SINGH),Bharatiya Janata Party,18451

Bhinmal,143,POORARAM CHOUDHARY,Bharatiya Janata Party,SAMARJIT SINGH,Indian National Congress,9646,POORA RAM CHOUDHARY,Bharatiya Janata Party,40191

Bhopalgarh,126,PUKHRAJ,Rashtriya Loktantrik Party,BHANWARLAL BALAI,Indian National Congress,4962,KAMASA,Bharatiya Janata Party,35810

Bikaner West,13,BULAKI DAS KALLA,Indian National Congress,GOPAL KRISHN,Bharatiya Janata Party,6190,GOPAL KRISHNA,Bharatiya Janata Party,6424

